Mean latency: 11.034592, p99: 42.077390, thruput: 93.351671
Mean latency: 12.084080, p99: 47.023150, thruput: 94.055610
Mean latency: 11.480945, p99: 38.601750, thruput: 93.317190
Mean latency: 11.663079, p99: 47.213350, thruput: 93.708045
Mean latency: 11.843868, p99: 46.390720, thruput: 93.016244
Mean latency: 11.416392, p99: 47.365480, thruput: 93.734931
Mean latency: 10.862957, p99: 37.205700, thruput: 95.837818
Mean latency: 12.023076, p99: 54.193850, thruput: 94.804098
Mean latency: 11.484911, p99: 42.295840, thruput: 94.532535
Mean latency: 11.558735, p99: 41.501040, thruput: 94.541787
Mean latency: 11.280483, p99: 41.669810, thruput: 95.493123
Mean latency: 11.413660, p99: 39.847920, thruput: 95.159191
Mean latency: 11.767979, p99: 43.770930, thruput: 93.614683
Mean latency: 11.174374, p99: 39.337160, thruput: 93.763504
Mean latency: 11.187422, p99: 42.180720, thruput: 95.201376
Mean latency: 11.132343, p99: 33.992980, thruput: 94.620114
Mean latency: 11.517329, p99: 43.648820, thruput: 92.974140
Mean latency: 11.276965, p99: 45.340280, thruput: 91.530033
Mean latency: 11.406181, p99: 42.823040, thruput: 94.200165
Mean latency: 11.825924, p99: 46.689630, thruput: 92.589287
Mean latency: 11.412624, p99: 37.311200, thruput: 92.014337
Mean latency: 11.267404, p99: 42.109760, thruput: 94.291986
Mean latency: 10.960160, p99: 36.240100, thruput: 94.337029
Mean latency: 11.389078, p99: 39.610440, thruput: 94.060941
Mean latency: 11.196131, p99: 39.542000, thruput: 94.091930
Mean latency: 11.230098, p99: 41.333520, thruput: 91.531687
Mean latency: 11.053262, p99: 45.717680, thruput: 95.049890
Mean latency: 11.554323, p99: 49.158100, thruput: 94.412376
Mean latency: 11.566437, p99: 36.145250, thruput: 91.286153
Mean latency: 11.059533, p99: 38.984100, thruput: 92.724320
Mean latency: 11.453588, p99: 45.868400, thruput: 93.733953
Mean latency: 11.997813, p99: 42.913700, thruput: 90.350098
Mean latency: 11.766782, p99: 38.346000, thruput: 92.240024
Mean latency: 11.347392, p99: 49.660300, thruput: 93.373313
Mean latency: 11.346415, p99: 39.532440, thruput: 91.945636
Mean latency: 10.804424, p99: 42.698720, thruput: 93.230631
Mean latency: 11.703711, p99: 51.052190, thruput: 93.573950
Mean latency: 10.893561, p99: 40.430690, thruput: 93.280881
Mean latency: 11.384770, p99: 38.884990, thruput: 94.548459
Mean latency: 11.628809, p99: 46.800160, thruput: 95.287645
Mean latency: 10.894345, p99: 40.504150, thruput: 92.731813
Mean latency: 11.994225, p99: 50.659900, thruput: 93.633443
Mean latency: 10.880756, p99: 36.301110, thruput: 92.779518
Mean latency: 11.277272, p99: 39.551540, thruput: 93.987811
Mean latency: 11.687572, p99: 38.557240, thruput: 92.157993
Mean latency: 11.069257, p99: 42.019800, thruput: 95.806969
Mean latency: 11.153889, p99: 36.663400, thruput: 94.240917
Mean latency: 11.301836, p99: 44.612800, thruput: 96.419718
Mean latency: 11.488366, p99: 37.597770, thruput: 92.932049
Mean latency: 11.119144, p99: 40.607590, thruput: 93.109063
Mean latency: 11.458218, p99: 46.152640, thruput: 92.818844
Mean latency: 11.643111, p99: 41.814690, thruput: 93.376905
Mean latency: 11.131817, p99: 41.580820, thruput: 92.856022
Mean latency: 11.230105, p99: 38.657330, thruput: 95.109555
Mean latency: 11.096684, p99: 39.677080, thruput: 94.411922
Mean latency: 11.278223, p99: 42.469150, thruput: 95.124443
Mean latency: 11.248419, p99: 37.290280, thruput: 93.217602
Mean latency: 11.097261, p99: 35.134500, thruput: 96.003796
Mean latency: 11.598263, p99: 40.939680, thruput: 93.930406
Mean latency: 11.222285, p99: 47.829680, thruput: 94.931209
