Mean latency: 5.566775, p99: 16.764060, thruput: 139.630178
Mean latency: 5.542595, p99: 16.755680, thruput: 142.400024
Mean latency: 5.956806, p99: 20.216480, thruput: 140.175293
Mean latency: 5.738736, p99: 16.051810, thruput: 139.863044
Mean latency: 6.001841, p99: 17.797590, thruput: 140.901511
Mean latency: 5.812078, p99: 17.389480, thruput: 141.201569
Mean latency: 5.932071, p99: 19.228760, thruput: 140.644403
Mean latency: 5.690040, p99: 16.421350, thruput: 140.199750
Mean latency: 5.862676, p99: 17.806940, thruput: 140.413525
Mean latency: 5.643104, p99: 17.508440, thruput: 136.933138
Mean latency: 5.881764, p99: 17.758170, thruput: 140.170446
Mean latency: 5.661957, p99: 17.770790, thruput: 138.765490
Mean latency: 5.910003, p99: 21.021800, thruput: 140.410830
Mean latency: 5.739126, p99: 17.213060, thruput: 139.601813
Mean latency: 5.979152, p99: 17.882290, thruput: 139.871893
Mean latency: 5.668157, p99: 16.558980, thruput: 137.372210
Mean latency: 6.041249, p99: 19.618800, thruput: 139.120215
Mean latency: 5.801511, p99: 19.217100, thruput: 139.198937
Mean latency: 5.919706, p99: 17.365250, thruput: 139.414906
Mean latency: 6.047502, p99: 16.827840, thruput: 138.512920
Mean latency: 5.892349, p99: 17.104800, thruput: 139.426767
Mean latency: 5.641298, p99: 18.344000, thruput: 138.718442
Mean latency: 5.802519, p99: 15.926660, thruput: 138.750081
Mean latency: 6.013410, p99: 20.075120, thruput: 139.482463
Mean latency: 5.618814, p99: 16.272440, thruput: 138.059575
Mean latency: 5.936925, p99: 17.376500, thruput: 138.008445
Mean latency: 5.983979, p99: 18.352720, thruput: 138.335330
Mean latency: 5.708212, p99: 17.442560, thruput: 137.143562
Mean latency: 5.893581, p99: 16.875150, thruput: 136.263090
Mean latency: 5.577102, p99: 18.754400, thruput: 137.438153
