   Compiling clipper v0.1.0 (file:///home/eecs/crankshaw/clipper/clipper_server)
     Running `target/release/clipper start`
starting worker: HUNDRED_rf
starting worker: TEN_rf
starting worker: FIVE_HUNDO_rf
creating dispatcher with 1 workers
starting response worker 0 with 20ms SLA
rpc connection established
rpc connection established
rpc connection established
sending batch with no delays
waiting for features to finish
got response: 0 from FIVE_HUNDO_rf in 18 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 46 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 50 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 51 ms, putting in cache
got response: 0 from TEN_rf in 15 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 49 ms, putting in cache
got response: 0 from HUNDRED_rf in 17 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 50 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 53 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 46 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 49 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 49 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 49 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 54 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 54 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 50 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 51 ms, putting in cache
got response: 0 from TEN_rf in 49 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 46 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 49 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 49 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 50 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 50 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 49 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 53 ms, putting in cache
